question,answer
What is the latest Intel processor?,"As of my last update, it's the 13th Gen Intel Core processors."
How can I check my CPU temperature?,You can use Intel's Extreme Tuning Utility (XTU) or third-party software like Core Temp.
How can I get Priority Support for Intel toolkits?,"To receive Priority Support, you need to purchase and register a supported version of an Intel toolkit. Choose a Product: Intel oneAPI Base Toolkit Intel oneAPI Base & HPC Toolkit Intel oneAPI Base & Rendering Toolkit"
I have Priority Support. Where do I submit support tickets?,Customers with Priority Support may submit requests to the Online Service Center. Submit a ticket [https://www.intel.com/content/www/us/en/developer/get-help/priority-support.html].
When will support for my products end and will that cause my products to stop working?,"Your support ends at the end of the support period associated with your product. Typically a year from the product purchase. After support expiration, you can use the product, but you will not be able to submit support requests to the Online Service Center nor receive Priority Support."
Do you offer support for free Intel toolkits?,"Free Intel toolkits do not qualify for Priority Support. However, you can still ask questions in our community forums [https://community.intel.com/t5/Software-Products/ct-p/software-products]."
"Where do I seek support for getting started issues (downloading, registration, licensing, and installation)?","If you have Priority Support for one or more Intel toolkits, Intel Parallel Studio XE, or Intel System Studio, you are entitled to submit a ticket in the Online Service Center [https://www.intel.com/content/www/us/en/developer/get-help/priority-support.html]. If your product doesn’t include Priority Support, you can seek help for getting started issues in our community forums: Registration, Download, Licensing and Installation [https://community.intel.com/t5/Software-Products/ct-p/software-products]. For more information go to the Priority Support FAQ page [link to Priority Support FAQ page]."
Are all of the Intel toolkits available for free?,Yes. All of the Intel toolkits are available for free download and use for commercial and noncommercial purposes. The Intel toolkits obtained for free are supported via community forums and are public. Only the most recent releases of the toolkits will be made available.
What Intel toolkits are available for commercial support?,The Intel® oneAPI Base Toolkit (Base Kit) is available in addition to the following combinations: Intel® oneAPI Base & HPC Toolkit and Intel® oneAPI Base & Rendering Toolkit. Both are available with commercial support with various use and support configuration price points.
Can the HPC Toolkit or Rendering Toolkit be purchased as a stand-alone product?,"No, these add-on toolkits are intended to be used with the Base Kit to form a complete suite of tools to meet the development needs to target Intel's latest platforms."
Can I add another add-on toolkit to an existing toolkit commercial product I have already purchased so I don't have to buy the Base Kit again?,"Yes, please contact your local reseller and they can work with you on how to do so."
What is the difference between a renewal and an upgrade?,"A renewal is when the support period on a license is extended. The serial number for the product remains the same, but the expiration date within the license file is changed. A renewal extends the support period for your existing product. A product upgrade is a rare event in which an entirely new serial number is granted, and the old serial number is deactivated. It can be a free upgrade or a paid upgrade for a different product. For example, you can upgrade from Intel Parallel Studio XE to Intel oneAPI Base & HPC Toolkit."
Do I qualify for a free upgrade to Intel toolkits?,"If you have a product that is currently supported, such as Intel Parallel Studio XE, you qualify for a free upgrade to the corresponding Intel toolkit. Once you upgrade your product, the remainder of your support period will be assigned to the new serial number."
Where can I find my free upgrade?,You can sign into your Intel Registration Center [link to Intel Registration Center] account and go to the Manage License page of your supported product. You will see the option to upgrade your product.
Where can I purchase a new product or a renewal to extend my support?,"Choose from the following options: To purchase a new product or a extend support for your product, visit the Intel® Web Store [https://softwarestore.intel.com/]. If you purchased your license from a reseller, contact them to make your purchase. For options on extending support, use the Support Renewal Option tool [https://lemcenter.intel.com/entitlements/]."
I purchased or renewed the wrong product or am otherwise having issues with the purchase or renewal itself. How can I fix this issue?,"If you purchased or renewed your product through a reseller, contact your reseller directly. If you purchased or renewed your product through the Intel® Web Store, contact them directly: Email: [intelsoftwarestore@ispfulfillment.com](mailto:intelsoftwarestore@ispfulfillment.com) Phone: 1-800-599-4285 If you cannot resolve the issue directly with your reseller or the Intel Web Store, visit our Get Help page [link to Get Help page] for all support options."
Can I still purchase Intel Parallel Studio XE and Intel System Studio?,"While you cannot purchase a new Intel Parallel Studio or Intel System Studio products, you can purchase a renewal for your currently supported products. For exceptions, contact your reseller."
Can I still renew Intel Parallel Studio XE?,"For a limited period, you will still be able to renew your existing products, providing you have not transitioned to an Intel toolkit prior to the renewal."
"Will I still have access to my older product, once I transition to an Intel toolkit?",You will still have access to Intel Parallel Studio XE downloads after transitioning to the Intel oneAPI Base & HPC Toolkit.
Why do I need to register my serial numbers?,You only need to register the serial numbers for your commercial products. Registering your serial number will identify your product as eligible for Priority Support. Free products don't need registration and do not come with Priority Support.
Do I need to register all my commercial serial numbers?,You need to register every serial number for a commercial product to enable your Priority Support for that product. Make sure all your commercial serial numbers are registered prior to seeking support.
How do I register a serial number to my account?,"You can register your serial numbers at the Intel Registration Center [https://lemcenter.intel.com/products/]. If you are already signed in, on the top left side, under Intel Products, enter your serial number and select Register. If you are not signed in, enter your email address and serial number, and then select Register Product. If this email address is not yet associated with an account, you will be prompted to create an account. Note This pertains to Intel® Software Development Products only. For all other Intel products, see the support page [link to support page]."
Whom should I contact if I am unable to register my serial number?,"If you are unable to register your serial number, see the support options at Get Help [https://www.intel.com/content/www/us/en/support.html]."
How do I add an administrator to my serial number?,"To add an administrator to your serial number: Sign-in to the Intel Registration Center [https://lemcenter.intel.com/products/]. In the Serial Numbers tab, select the serial number (not the product name). On the Manage Serial Number page (sometimes called Manage License), next to Administrator, select Add. Enter the user's email address, and then select Add. Note The domain name for the new administrator's email must match that of the license owner. For more detailed information, see How do I add an administrator to manage my serial number [link to instructions on adding an administrator]."
